index,Q_exact,Q_approx,a_approx,H_over_sqrt_kappa_approx,Qdot_over_sqrt_kappa_approx,sqrt_kappa_dNT_dH_approx
0,101/100 + 0/20000,1.01,4.641511470575362772235949248069943686924733657124741662893484352773550465624489960851,-0.05788063518372862679203113392846967186713572898454017073244603639786258556345243149031,0.001736245413606307617880557924452304746998470462349251501461183753826683979146882587415,0.3370196863179230173261494539682969927470536075030635791195245339858591414244616629825
1,101/100 + 1/20000,1.01005,4.633800530126978242654485190106692206986176206593635871954504000818033763450719111498,-0.05802589264543618974089328269629416361164932597111985744854795459106632829927189650721,0.001749303961339210212524990190393635229485732581856214801366652129932424735291802656319,0.3378147910885123115898597865904895661805291271378816830452875993395340801103052503475
2,101/100 + 2/20000,1.0101,4.626140564850218336056159246213366546553000845124603686220536286245795858941420642246,-0.05817079476997891754565952941778775431204381026384828322627038154671154963018598668342,0.001762395281246294289487305109682512927231761091845327022305823632064226078425748805751,0.3386075812977572287377815526602212940072355262219029112461657733844056410196782651855
3,101/100 + 3/20000,1.01015,4.618530987836052796607378591576780343321809724161245264653624775522953752433009837741,-0.0583153442072900895057284087214525287961329874461338949502379590077920450695667556996,0.001775519293828878491157586181661359948918395924588987395160833895182752018574228897072,0.3393980733545294122807070449469302167250731507063856284570167373297041525999780303154
4,101/100 + 4/20000,1.0102,4.610971221781254599790996756714039784484541702287980622632695993776380374099310240304,-0.05845954357467842873643571172271151457449702745030706188267940216947917474840959330473,0.001788675920179206527296925172308674840256733321454876637240410523057010341333104324382,0.3401862834683078459671601061907270719417158219593083098810272487639135884690299439829
5,101/100 + 5/20000,1.01025,4.60346069878501807253367815372621053635912440631269390504322026550988809958666102995,-0.05860339545738739395582655204701165569222071438751424568735925850291523550847639224688,0.001801865081973178679927033841611531908301944926297798904761593207365177269028782825587,0.340972227652578906742259203045143223593377456947384823030216559726358399495857382341
6,101/100 + 6/20000,1.0103,4.595998860150851144767712874243116105751240600378735799873340663269111159240404744492,-0.05874690240914220600351188373035930981830419659119962417137011431007155406214426730788,0.001815086701463207661302498408677583600372980196398582851520170805928511915843090865657,0.3417559217281620716576976508341675684656445846846729262627770915283472556290670008223
7,101/100 + 7/20000,1.01035,4.588585156193580104211275488551517584893672415611679626107644418472027466290531135081,-0.05889006695268493622091507005612361105744592742291522449092251547970373030261193211156,0.001828340701471196103955318834781553818831329232626778504061135934940343890719628437039,0.3425373813264632579757026522396820442032883689228257199088897806720259594564323895303
8,101/100 + 8/20000,1.0104,4.581219046051310933791826058039434815186200005632468803378068124562051468929854926373,-0.05903289158029797356113089567305412960128174391070307657691153931896029596750191275577,0.001841627005381633034208088341167797720478670961451188881883048193686267785322970113765,0.3433166218926577137058309812484151910269589999831242648452245072442056574248850455468
9,101/100 + 9/20000,1.01045,4.57389999750219679083434084614182346374073259239436667032048360074652574247968564292,-0.05917537875431617740512056583548862097685721996125551244247740300751307383106487166792,0.001854945537134806750692947096968751391813228584180215939261859970615364423482831821177,0.3440936586888043160406382030586767086794310916902599464125663287396241505213908379053
10,101/100 + 10/20000,1.0105,4.566627486785866449036408540739248670957539111209191228255884718047536552080969540705,-0.05931753090762801352403746501558231911711579123789123944208365186673887200068724286675,0.001868296221220131597369712856379527061742643570490078750887457607539797767261548763594,0.3448685067968930775240435041584327423636429437446294388726108300985229024533564456998
