ln_a,zeta,u,delta_b,delta_gamma,delta_nu,theta_b,theta_gamma,theta_nu,alpha,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,slip_residual,canonical_denominator
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.819003581850227e-05,0.0,0.0,1.0,0.0,0.0,3.390315654178119e-33,5549.679142760792
0.002302585092994046,5.778748498123646e-08,8.786485787238933e-08,0.9999998266342157,-2.3115882329626818e-07,-2.3115882329626818e-07,8.789949562093495e-08,8.793418529919261e-08,8.793418529919261e-08,3.819566689419127e-05,3.007737289114921e-08,3.0077372891152867e-08,1.0000000902287893,1.2030060819328913e-07,1.2030060819328913e-07,-3.65944702993126e-21,5521.413484344977
0.004605170185988092,1.1554349616930467e-07,1.7558858276458754e-07,0.9999996533429603,-4.622448663972655e-07,-4.622448663972655e-07,1.7572692051640335e-07,1.7586566315795477e-07,1.7586566315795477e-07,3.820125917416379e-05,6.004508659528535e-08,6.004508659528287e-08,1.0000001801087086,2.4010946466108466e-07,2.4010946466108466e-07,2.4749243927619378e-21,5493.2429045443305
0.0069077552789821375,1.7326819877343165e-07,2.6317231694077014e-07,0.9999994801060754,-6.933113917460313e-07,-6.933113917460313e-07,2.634830997564029e-07,2.637952136114099e-07,2.637952136114099e-07,3.820681310162403e-05,8.99041181673417e-08,8.990411816733849e-08,1.0000002696230263,3.593778760170493e-07,3.593778760170493e-07,3.202843331808547e-21,5465.167515381443
0.009210340371976183,2.3096175804950455e-07,3.506171944715904e-07,0.999999306903652,-9.244110941275596e-07,-9.244110941275596e-07,3.511688537488809e-07,3.5172358434530617e-07,3.5172358434530617e-07,3.82123291238803e-05,1.196554364220856e-07,1.1965543642208585e-07,1.0000003587552355,4.78057683758802e-07,4.78057683758802e-07,-2.3822801641210265e-22,5437.187424249712
0.01151292546497023,2.886243393003415e-07,4.3792434128691067e-07,0.9999991337160279,-1.1555960923274092e-06,-1.1555960923274092e-06,4.387849982580744e-07,4.396514909884574e-07,4.396514909884574e-07,3.821780769235336e-05,1.4930000198657416e-07,1.4930000198656918e-07,1.0000004474890518,5.961012728202335e-07,5.961012728202335e-07,4.97631856512213e-21,5409.302733932045
0.013815510557964275,3.462561078768304e-07,5.250948752298404e-07,0.9999989605237867,-1.3869179210579907e-06,-1.3869179210579907e-06,5.263323444243952e-07,5.275796174111772e-07,5.275796174111772e-07,3.8223249262417195e-05,1.7883876735301152e-07,1.7883876735300999e-07,1.0000005358084123,7.134615798613708e-07,7.134615798613708e-07,1.535247216901481e-21,5381.513542638078
0.01611809565095832,4.0385722917874886e-07,6.121299061101149e-07,0.9999987873077558,-1.6184275231478742e-06,-1.6184275231478742e-06,6.13811698783921e-07,6.155086160276628e-07,6.155086160276628e-07,3.8228654293508534e-05,2.082726769313676e-07,2.0827267693136605e-07,1.0000006236974741,8.300921012925854e-07,8.300921012925854e-07,1.5352472169014277e-21,5353.819944012487
0.018420680743952367,4.614278686563303e-07,6.990305357585621e-07,0.9999986140490051,-1.850175241998308e-06,-1.850175241998308e-06,7.012238632892198e-07,7.034391081039088e-07,7.034391081039088e-07,3.823402324913763e-05,2.3760266710222861e-07,2.376026671022318e-07,1.0000007111406124,9.459469010359404e-07,9.459469010359404e-07,-3.1763735522006708e-21,5326.222027154548
0.020723265836946413,5.189681918104728e-07,7.857978580792503e-07,0.9999984407288448,-2.0822108142983803e-06,-2.0822108142983803e-06,7.885696353281068e-07,7.913716840676213e-07,7.913716840676213e-07,3.823935659682426e-05,2.668296662687763e-07,2.668296662687775e-07,1.000000798122419,1.060980618018621e-06,1.060980618018621e-06,-1.2176098616751535e-21,5298.719876646122
0.02302585092994046,5.764783641948817e-07,8.72432959104634e-07,0.999998267328824,-2.3145833630117116e-06,-2.3145833630117116e-06,8.758498077456471e-07,8.793069038253281e-07,8.793069038253281e-07,3.824465480807314e-05,2.959545949097514e-07,2.959545949097523e-07,1.0000008846277013,1.1751484734068244e-06,1.1751484734068244e-06,-8.999725064548428e-22,5271.313572575686
0.025328436022934504,6.339585514163759e-07,9.589369170475959e-07,0.9999980938307289,-2.5473413906191707e-06,-2.5473413906191707e-06,9.630651688633087e-07,9.672452970804348e-07,9.672452970804348e-07,3.824991835857561e-05,3.249783656312228e-07,3.2497836563122e-07,1.00000097064148,1.2884062775712128e-06,1.2884062775712128e-06,2.8057966377826696e-21,5244.003190538652
0.02763102111592855,6.914089191367367e-07,1.045310802355865e-06,0.9999979202165812,-2.780532772630674e-06,-2.780532772630674e-06,1.0502165025007285e-06,1.0551873636575818e-06,1.0551873636575818e-06,3.825514772787896e-05,3.539018832191292e-07,3.5390188321912834e-07,1.0000010561489883,1.4007104367927861e-06,1.4007104367927861e-06,8.470329472570493e-22,5216.788801694868
0.029933606208922596,7.488296330738833e-07,1.1315556777651964e-06,0.9999977464686366,-3.014204751356525e-06,-3.014204751356525e-06,1.1373045879965022e-06,1.1431335738295735e-06,1.1431335738295735e-06,3.8260343399702686e-05,3.827260446913105e-07,3.827260446913131e-07,1.00000114113567,1.5120179597042606e-06,1.5120179597042606e-06,-2.6469779601669904e-21,5189.670472757519
0.03223619130191664,8.062208590030143e-07,1.2176725983523845e-06,0.9999975725693827,-3.2484039299401725e-06,-3.2484039299401725e-06,1.2243302002290368e-06,1.2310843686477784e-06,1.2310843686477784e-06,3.826550586170416e-05,4.114517393493734e-07,4.114517393493701e-07,1.0000012255871777,1.6222864634693653e-06,1.6222864634693653e-06,3.282252670613062e-21,5162.648266040935
0.03453877639491069,8.635827627580763e-07,1.303662611588652e-06,0.999997398501538,-3.483176266652959e-06,-3.483176266652959e-06,1.3112941096380352e-06,1.3190401602764626e-06,1.3190401602764626e-06,3.827063560562331e-05,4.4007984883057625e-07,4.400798488305757e-07,1.0000013094893727,1.731474179701649e-06,1.731474179701649e-06,5.29395592036536e-22,5135.722239468599
0.036841361487904734,9.209155102334731e-07,1.389526757393302e-06,0.9999972242480493,-3.718567069449624e-06,-3.718567069449624e-06,1.3981970822464858e-06,1.4070013323307801e-06,1.4070013323307801e-06,3.8275733127236695e-05,4.68611247159833e-07,4.6861124715982885e-07,1.0000013928283213,1.8395399601235838e-06,1.8395399601235838e-06,4.129285617867263e-21,5108.89244660166
0.03914394658089878,9.78219267385159e-07,1.475266068186238e-06,0.999997049792091,-3.954620990780024e-06,-3.954620990780024e-06,1.4850398796817591e-06,1.494968240216897e-06,1.494968240216897e-06,3.828079892631423e-05,4.970468008010835e-07,4.970468008010791e-07,1.0000014755902955,1.9464432819649284e-06,1.9464432819649284e-06,4.446922973087577e-21,5082.158936667445
0.041446531673892825,1.0354942002331202e-06,1.5608815689425973e-06,0.999996875117063,-4.1913820226640395e-06,-4.1913820226640395e-06,1.5718232591990605e-06,1.5829412114773755e-06,1.5829412114773755e-06,3.828583350666678e-05,5.253873687094782e-07,5.253873687094771e-07,1.0000015577617698,2.0521442531063498e-06,2.0521442531063498e-06,1.058791184070327e-21,5055.521754578786
0.04374911676688687,1.0927404748615026e-06,1.6463742772434072e-06,0.999996700206589,-4.428893492013336e-06,-4.428893492013336e-06,1.6585479737011552e-06,1.6709205461356112e-06,1.6709205461356112e-06,3.829083737617951e-05,5.53633802381902e-07,5.536338023819046e-07,1.0000016393294209,2.1566036169602925e-06,2.1566036169602925e-06,-2.5410988417604974e-21,5028.980940955272
0.04605170185988092,1.149958257421894e-06,1.7317452033312513e-06,0.999996525044515,-4.667198056220832e-06,-4.667198056220832e-06,1.7452147717633289e-06,1.7589065170481363e-06,1.7589065170481363e-06,3.829581104670676e-05,5.817869459093619e-07,5.817869459093573e-07,1.000001720280125,2.259782757104173e-06,2.259782757104173e-06,4.658681209901007e-21,5002.536532159094
0.04835428695287496,1.2071477141340014e-06,1.816995350161539e-06,0.9999963496149076,-4.906337698993254e-06,-4.906337698993254e-06,1.8318243976542064e-06,1.8468993702553077e-06,1.8468993702553077e-06,3.830075503423903e-05,6.09847636027537e-07,6.098476360275375e-07,1.0000018006009581,2.361643701652902e-06,2.361643701652902e-06,-5.293955920316292e-22,4976.188560303192
0.05065687204586901,1.264309011287798e-06,1.9021257134560325e-06,0.9999961739020523,-5.146353726441661e-06,-5.146353726441661e-06,1.918377591359055e-06,1.9348993253368712e-06,1.9348993253368712e-06,3.830566985858702e-05,6.378167021682384e-07,6.378167021682346e-07,1.0000018802791926,2.462149127382469e-06,2.462149127382469e-06,3.811648262646613e-21,4949.937053309176
0.052959457138863054,1.3214423152455847e-06,1.9871372817560832e-06,0.9999959978904522,-5.38728676342208e-06,-5.38728676342208e-06,2.004875088603037e-06,2.022906575769743e-06,2.022906575769743e-06,3.831055604393456e-05,6.656949665105005e-07,6.656949665104985e-07,1.0000019593022975,2.5612623636022526e-06,2.5612623636022526e-06,2.0117032497311785e-21,4923.782034876859
0.0552620422318571,1.3785477924437779e-06,2.072031036475282e-06,0.9999958215648264,-5.62917675012377e-06,-5.62917675012377e-06,2.091317620874119e-06,2.1109212892875783e-06,2.1109212892875783e-06,3.8315414118191366e-05,6.934832440315062e-07,6.934832440315043e-07,1.0000020376579357,2.6589473957773587e-06,2.6589473957773587e-06,1.9058241313243447e-21,4897.723524576417
0.057564627324851146,1.4356256093948242e-06,2.1568079519521607e-06,0.9999956449101073,-5.872062938904973e-06,-5.872062938904973e-06,2.17770591544626e-06,2.1989436082426568e-06,2.1989436082426568e-06,3.8320244613471235e-05,7.21182342557334e-07,7.211823425573365e-07,1.000002115333963,2.7551688689036703e-06,2.7551688689036703e-06,-2.541098841760778e-21,4871.7615378262535
0.05986721241784519,1.492675932689337e-06,2.24146899550312e-06,0.9999954679114407,-6.115983891374656e-06,-6.115983891374656e-06,2.2640406954030634e-06,2.2869736499701025e-06,2.2869736499701025e-06,3.832504806587062e-05,7.487930628137857e-07,7.487930628137831e-07,1.0000021923184272,2.8498920906378246e-06,2.8498920906378246e-06,2.6469779601717665e-21,4845.896085942291
0.06216979751083924,1.5496989289980345e-06,2.326015127474869e-06,0.999995290554183,-6.360977475716589e-06,-6.360977475716589e-06,2.3503226796611757e-06,2.375011507153638e-06,2.375011507153638e-06,3.832982501559855e-05,7.76316198476835e-07,7.763161984768344e-07,1.0000022685995655,2.943083034182886e-06,2.943083034182886e-06,5.293955920359707e-22,4820.127176151983
0.06447238260383328,1.6066947650741338e-06,2.4104473012974663e-06,0.9999951128238997,-6.6070808642564204e-06,-6.6070808642564204e-06,2.4365525829945203e-06,2.4630572481938156e-06,2.4630572481938156e-06,3.8334576006847745e-05,8.03752536223333e-07,8.037525362233325e-07,1.0000023441658037,3.034708340933445e-06,3.034708340933445e-06,4.235164736291385e-22,4794.454811634612
0.06677496769682734,1.663663607756555e-06,2.494766463538523e-06,0.9999949347063647,-6.854330531271058e-06,-6.854330531271058e-06,2.522731116059918e-06,2.551110917579173e-06,2.551110917579173e-06,3.833930158790973e-05,8.311028557819643e-07,8.31102855781968e-07,1.0000024190057553,3.1247353228830343e-06,3.1247353228830343e-06,-3.705769144235619e-21,4768.878991537424
