mode,k_over_Hd_approx,maximum_sampled_unit_response,refinement_discrepancy,slip_residual,min_canonical_denominator
0,0.03,1.0011357323900973,3.078104394635406e-12,7.453889935837843e-19,1.792669897832447
1,0.03867544954725395,1.0011356409525825,3.1111599299409043e-12,7.589415207398531e-19,1.7926937082156016
2,0.049859679922739535,1.0011354890195328,3.1336963731386225e-12,7.182839392716467e-19,1.792733280818366
3,0.06427818450980478,1.0011352366055988,3.154905102355915e-12,4.87890977618477e-19,1.7927990500619508
4,0.08286625606660118,1.0011348173645707,3.204494178690731e-12,7.047314121155779e-19,1.7929083578430807
5,0.1068296568557887,1.0011341213303433,4.870551444796645e-12,6.776263578034403e-19,1.7930900262090872
6,0.13772283346255026,1.0011329665679167,3.827924034607161e-12,4.87890977618477e-19,1.7933919570951264
7,0.1775497499028574,1.0011310529757984,4.265601598069796e-12,7.860465750519907e-19,1.7938937630063498
8,0.2288938798165173,1.0011278880065746,1.0577892240511838e-11,6.2341624917916505e-19,1.7947277590769144
9,0.29508579001729746,1.0011226727741194,8.60213067227153e-12,6.098637220230962e-19,1.7961138516480868
10,0.380419186130852,1.0011141219677466,7.965607503029187e-12,5.759824041329242e-19,1.7984175227128183
11,0.4904294346670394,1.0011002212223672,9.392954838406686e-12,6.640738306473715e-19,1.802246199443978
12,0.6322526285651118,1.0010779429270587,1.6975908959798724e-11,5.759824041329241e-19,1.8086094193220867
13,0.8150884879062894,1.0010430194046662,6.8184197437454186e-12,4.607859233063394e-19,1.8191850228687707
14,1.0507971230189073,1.0009901182102925,5.375897535291052e-12,4.0657581468206416e-19,1.8367615631296856
15,1.3546683705239113,1.000913911226473,4.67866657959462e-12,4.472333961502708e-19,1.8659735855149642
16,1.7464136072486087,1.0008115174084002,5.301594666745624e-12,4.336808689942016e-19,1.9145236550491609
17,2.2514443785260445,1.0006856316670314,1.4934461002938382e-12,2.7782680669941013e-19,1.9952133526225537
18,2.9025207823377523,1.0005459132403727,2.377705617031406e-12,2.0328790734103203e-19,2.129318769091621
19,3.741876535905328,1.0004062334441717,2.126696767908859e-12,1.829591166069292e-19,2.352200540460068
20,4.823958572548661,1.0002789204945768,7.969962038424649e-13,1.219727444046193e-19,2.7226276664948657
21,6.218958879688301,1.000170321353456,6.853553640405463e-13,6.776263578034442e-20,3.3382735977880444
22,8.017367679594397,1.0000805537393433,4.691070665599484e-13,5.082197683525814e-20,4.361470567121871
23,10.335843306464588,1.000007253438255,1.1185410236924653e-13,3.3881317890171333e-20,6.0620130134185946
24,13.324779544249775,1.0000053656122538,9.666787227462226e-14,2.032879073410164e-20,8.88829641566482
25,17.178061299730462,1.0000039209018745,5.48230623224899e-14,1.6940658945087102e-20,13.58554927589644
26,22.145641437245377,1.00000278643979,5.1712811550280735e-14,1.1011428314306774e-20,21.392333413473825
27,28.549754603258673,1.000001899032769,6.927791673660977e-14,5.929230630779071e-21,34.36712535765811
28,36.80581979149375,1.0000012256492934,9.103828801926284e-14,4.658681209896724e-21,55.931091137697045
29,47.44938754637454,1.0000007438560425,1.566524687746096e-13,3.1763735522196397e-21,91.77017219295188
30,61.17087980326363,1.0000004240527078,7.602012281390097e-15,2.3293406049465217e-21,151.33434253095618
31,78.8603758530753,1.0000002287877299,1.5143442055887135e-13,1.574951886323072e-21,250.32935812817067
32,101.66534958610328,1.0000001177842954,1.9251267247000214e-13,8.999725064549546e-22,414.8580178489614
33,131.06510328737576,1.000000058682777,7.549516124424492e-15,7.643148859687421e-22,688.3028949088265
34,168.96672631988417,1.0000000285053214,1.666666804567285e-12,3.573420246043381e-22,1142.7653631327487
35,217.82880329831164,1.000000013729301,4.591882429849647e-13,1.9852334701459387e-22,1898.0771365508506
36,280.82089639675195,1.000000006421967,2.616795669041494e-13,1.3234889801658901e-22,3153.397245367628
37,362.0291470135738,1.0000000029995355,1.698086116164177e-12,9.512577041327997e-23,5239.725872907066
38,466.7213336652953,1.0000000014248187,1.3540961597973225e-12,4.963083675963719e-23,8707.18179233256
39,601.688579759973,1.0000000006781087,2.401967513776526e-12,2.8124140834044304e-23,14470.056535291322
40,775.6858769888574,1.0000000002923195,3.553823901825126e-13,2.1920286195973356e-23,24047.89287258347
41,1000.0,1.0000000001399332,2.914335439641036e-13,1.1580528591776023e-23,39966.15467690918
