ln_a,a,Q,H_over_Hd,Q_prime,H_prime_over_Hd,D_over_Hd2,Xi_over_Hd2,Bq_over_Hd,Sigma_A,friedmann_scaled_residual,current_scaled_residual
-34.53877639491069,9.999999999999942e-16,6.121300865376232,4.470757156372354e+22,-0.37499999999999967,-6.845933083897703e+22,8.000000000000206e+45,8.000000000000206e+45,0.0,0.0625,8.801258375393887e-16,9.507379501711476e-16
-34.4698744429803,1.0713311620462423e-15,6.095462633402334,4.023071569874546e+22,-0.37499999999999967,-6.160950314422903e+22,6.506070641474392e+45,6.506070641474392e+45,0.0,0.0625,1.3145588388257691e-15,9.742059916682346e-16
-34.400972491049906,1.1477504587713589e-15,6.0696244014284355,3.620181711027443e+22,-0.37499999999999967,-5.544457084347622e+22,5.291119398981739e+45,5.291119398981739e+45,0.0,0.0625,8.955231760896118e-16,8.385327879111267e-16
-34.33207053911951,1.229620832734635e-15,6.043786169454539,3.257608420928814e+22,-0.37499999999999967,-4.98960973320378e+22,4.303049572781291e+45,4.303049572781291e+45,0.0,0.0625,1.0693041697501209e-15,1.0310773849465733e-15
-34.26316858718913,1.317331115609863e-15,6.017947937480645,2.9313201250087205e+22,-0.37499999999999967,-4.490248027186901e+22,3.4994930617851695e+45,3.4994930617851695e+45,0.0,0.0625,9.706121571454983e-16,9.055958804941682e-16
-34.194266635258735,1.4112978748859957e-15,5.9921097055067465,2.637688134671527e+22,-0.37499999999999967,-4.040826948496639e+22,2.845993633665404e+45,2.845993633665404e+45,0.0,0.0625,8.687753899868976e-16,7.794776924860162e-16
-34.12536468332834,1.5119673922950152e-15,5.96627147353285,2.3734464102671883e+22,-0.3749999999999996,-3.63635528900652e+22,2.3145294532266625e+45,2.3145294532266625e+45,0.0,0.0625,7.8889019757554e-16,9.584620093327255e-16
-34.05646273139795,1.619817783363455e-15,5.940433241558954,2.1356553403411447e+22,-0.3749999999999996,-3.272340369831451e+22,1.882311515558199e+45,1.882311515558199e+45,0.0,0.0625,9.8842602680906e-16,1.010181303480185e-15
-33.98756077946756,1.735361268153949e-15,5.914595009585056,1.9216691364885887e+22,-0.37499999999999967,-2.9447382759757905e+22,1.5308064611852564e+45,1.5308064611852564e+45,0.0,0.0625,6.519143747522351e-16,8.280933170655202e-16
-33.918658827537165,1.8591466039814217e-15,5.888756777611158,1.7291064830904288e+22,-0.37499999999999967,-2.6499090561200678e+22,1.2449418718620558e+45,1.2449418718620558e+45,0.0,0.0625,7.051595770224601e-16,7.636805955840782e-16
-33.84975687560677,1.9917616916577537e-15,5.862918545637261,1.5558241171793242e+22,-0.3749999999999996,-2.3845763924173936e+22,1.0124599703579754e+45,1.0124599703579754e+45,0.0,0.0625,1.0010346836817053e-15,9.39037569885375e-16
-33.78085492367638,2.133836367642903e-15,5.837080313663365,1.3998930460696478e+22,-0.3749999999999996,-2.145791294522302e+22,8.233920111017476e+44,8.233920111017476e+44,0.0,0.0625,9.354985780889387e-16,9.622167988763012e-16
-33.711952971745994,2.2860453953634016e-15,5.8112420816894685,1.2595771395425322e+22,-0.37499999999999967,-1.930899416509404e+22,6.696308237316968e+44,6.696308237316968e+44,0.0,0.0625,6.718759872817312e-16,8.282132750538715e-16
-33.6430510198156,2.449111669905149e-15,5.785403849715572,1.1333138596278972e+22,-0.3749999999999997,-1.7375116353464904e+22,5.445831803633819e+44,5.445831803633819e+44,0.0,0.0625,8.738491910830326e-16,7.274202121097283e-16
-33.57414906788521,2.623809651300512e-15,5.759565617741676,1.0196969146595655e+22,-0.37499999999999983,-1.5634775656080817e+22,4.42887080200364e+44,4.42887080200364e+44,0.0,0.0625,1.0133217448641313e-15,7.155608375698941e-16
-33.505247115954816,2.81096904271594e-15,5.733727385767777,9.174606455574098e+21,-0.3750000000000024,-1.4068617175471724e+22,3.60181828747476e+44,3.60181828747476e+44,0.0,0.0625,-6.469082763116734e-15,-6.379046718996237e-15
-33.436345164024424,3.0114787310088995e-15,5.70788915379388,8.254659714471444e+21,-0.3749999999999996,-1.265922034842994e+22,2.9292105270080846e+44,2.9292105270080846e+44,0.0,0.0625,1.113579761044975e-15,1.081904653609019e-15
-33.36744321209403,3.2262910083693267e-15,5.682050921819983,7.426877389748294e+21,-0.37499999999999967,-1.139090574632772e+22,2.382206326558101e+44,2.382206326558101e+44,0.0,0.0625,5.59714472683377e-16,8.314578131938733e-16
-33.29854126016364,3.456426095095674e-15,5.656212689846087,6.682033352005145e+21,-0.37499999999999967,-1.0249561161054728e+22,1.9373503303942548e+44,1.9373503303942548e+44,0.0,0.0625,5.919663276307045e-16,8.179022789145342e-16
-33.22963930823325,3.7029769849858e-15,5.630374457872191,6.011824379339975e+21,-0.37499999999999967,-9.222485052469525e+21,1.5755672633535785e+44,1.5755672633535785e+44,0.0,0.0625,5.219116414048834e-16,7.54282260970833e-16
-33.16073735630286,3.967114636355352e-15,5.604536225898293,5.408777899607024e+21,-0.3750000000000024,-8.298245625125808e+21,1.2813439894715846e+44,1.2813439894715846e+44,0.0,0.0625,-6.17820328512941e-15,-6.337788075988109e-15
