ln_a,a,Q,H_over_Hd,Q_prime,H_prime_over_Hd,D_over_Hd2,Xi_over_Hd2,Bq_over_Hd,Sigma_A,friedmann_scaled_residual,current_scaled_residual
-34.53877639491069,9.999999999999942e-16,6.121300865376232,1.4662878298685214e+28,-0.37499999999999967,-2.9325756597304835e+28,8.000000000000206e+45,8.000000000000206e+45,0.0,0.0625,-1.5641524887783546e-16,9.507379501711476e-16
-34.4698744429803,1.0713311620462423e-15,6.095462633402334,1.2775319048346173e+28,-0.3749999999999996,-2.5550638096631385e+28,6.506070641474392e+45,6.506070641474392e+45,0.0,0.0625,4.135531380299294e-17,9.742059916682346e-16
-34.400972491049906,1.1477504587713589e-15,6.0696244014284355,1.1130746192012965e+28,-0.37499999999999967,-2.2261492383969287e+28,5.291119398981739e+45,5.291119398981739e+45,0.0,0.0625,3.0206012469191695e-17,8.385327879111267e-16
-34.33207053911951,1.229620832734635e-15,6.043786169454539,9.697879976394995e+27,-0.37499999999999967,-1.9395759952737353e+28,4.303049572781291e+45,4.303049572781291e+45,0.0,0.0625,1.608049455959505e-16,1.0310773849465733e-15
-34.26316858718913,1.317331115609863e-15,6.017947937480645,8.449467305619887e+27,-0.3749999999999996,-1.6898934611190864e+28,3.4994930617851695e+45,3.4994930617851695e+45,0.0,0.0625,1.655739408004784e-16,9.055958804941682e-16
-34.194266635258735,1.4112978748859957e-15,5.9921097055067465,7.3617633877213e+27,-0.3749999999999997,-1.4723526775397162e+28,2.845993633665404e+45,2.845993633665404e+45,0.0,0.0625,-3.247126634483891e-16,7.794776924860162e-16
-34.12536468332834,1.5119673922950152e-15,5.96627147353285,6.41408010902047e+27,-0.37499999999999956,-1.2828160217998716e+28,2.3145294532266625e+45,2.3145294532266625e+45,0.0,0.0625,-3.205913338651346e-16,9.584620093327255e-16
-34.05646273139795,1.619817783363455e-15,5.940433241558954,5.588392546485728e+27,-0.3749999999999996,-1.117678509293223e+28,1.882311515558199e+45,1.882311515558199e+45,0.0,0.0625,-2.5142014510429375e-16,1.010181303480185e-15
-33.98756077946756,1.735361268153949e-15,5.914595009585056,4.86899613394251e+27,-0.37499999999999967,-9.73799226784857e+27,1.5308064611852564e+45,1.5308064611852564e+45,0.0,0.0625,-5.727868312973295e-17,8.280933170655202e-16
-33.918658827537165,1.8591466039814217e-15,5.888756777611158,4.242207961438958e+27,-0.37499999999999967,-8.484415922844051e+27,1.2449418718620558e+45,1.2449418718620558e+45,0.0,0.0625,1.645360944949265e-16,7.636805955840782e-16
