p_squared_Hd_squared,K_d,V_d_Hd_squared
1.000000000000000021e-03,1.247222222222222232e+00,6.666930555555554850e-04
8.343300000000000161e-01,3.562027777777777793e+00,5.745894783737499623e-01
1.667659999999999920e+00,5.876833333333333798e+00,1.185163205050555391e+00
2.500989999999999824e+00,8.191638888888888914e+00,1.832387873085971952e+00
3.334319999999999951e+00,1.050644444444444403e+01,2.516263482479999869e+00
4.167650000000000077e+00,1.282124999999999915e+01,3.236790033232639363e+00
5.000980000000000203e+00,1.513605555555555426e+01,3.993967525343888880e+00
5.834310000000000329e+00,1.745086111111110938e+01,4.787795958813750197e+00
6.667640000000000455e+00,1.976566666666667160e+01,5.618275333642222868e+00
7.500970000000000582e+00,2.208047222222222317e+01,6.485405649829306007e+00
8.334299999999998931e+00,2.439527777777777828e+01,7.389186907374998725e+00
9.167629999999999058e+00,2.671008333333332985e+01,8.329619106279304575e+00
1.000095999999999918e+01,2.902488888888888852e+01,9.306702246542222667e+00
1.083428999999999931e+01,3.133969444444444719e+01,1.032043632816374945e+01
1.166761999999999944e+01,3.365449999999999875e+01,1.137082135114389025e+01
1.250094999999999956e+01,3.596930555555555031e+01,1.245785731548263797e+01
1.333427999999999969e+01,3.828411111111110898e+01,1.358154422118000149e+01
1.416760999999999981e+01,4.059891666666666765e+01,1.474188206823597191e+01
1.500093999999999994e+01,4.291372222222222632e+01,1.593887085665055636e+01
1.583427000000000007e+01,4.522852777777777789e+01,1.717251058642375128e+01
1.666760000000000019e+01,4.754333333333333655e+01,1.844280125755555844e+01
1.750093000000000032e+01,4.985813888888888812e+01,1.974974287004597073e+01
1.833426000000000045e+01,5.217294444444444679e+01,2.109333542389500238e+01
1.916759000000000057e+01,5.448774999999999835e+01,2.247357891910264271e+01
2.000092000000000070e+01,5.680255555555554992e+01,2.389047335566888819e+01
2.083425000000000082e+01,5.911736111111112280e+01,2.534401873359375301e+01
2.166758000000000095e+01,6.143216666666666725e+01,2.683421505287722653e+01
2.250091000000000108e+01,6.374697222222222592e+01,2.836106231351930873e+01
2.333424000000000120e+01,6.606177777777777749e+01,2.992456051551999963e+01
2.416757000000000133e+01,6.837658333333334326e+01,3.152470965887930632e+01
2.500090000000000146e+01,7.069138888888889483e+01,3.316150974359722170e+01
2.583423000000000158e+01,7.300619444444444639e+01,3.483496076967374933e+01
2.666756000000000171e+01,7.532099999999999795e+01,3.654506273710889275e+01
2.750089000000000183e+01,7.763580555555556373e+01,3.829181564590264486e+01
2.833422000000000196e+01,7.995061111111111529e+01,4.007521949605500566e+01
2.916755000000000209e+01,8.226541666666666686e+01,4.189527428756597516e+01
3.000088000000000221e+01,8.458022222222223263e+01,4.375198002043555334e+01
3.083421000000000234e+01,8.689502777777779841e+01,4.564533669466375443e+01
3.166754000000000246e+01,8.920983333333333576e+01,4.757534431025055710e+01
3.250086999999999904e+01,9.152463888888890153e+01,4.954200286719596846e+01
3.333419999999999561e+01,9.383944444444443889e+01,5.154531236549999562e+01
3.416752999999999929e+01,9.615425000000000466e+01,5.358527280516263858e+01
3.500085999999999586e+01,9.846905555555555623e+01,5.566188418618388312e+01
3.583418999999999954e+01,1.007838611111111078e+02,5.777514650856375056e+01
3.666751999999999612e+01,1.030986666666666594e+02,5.992505977230221959e+01
3.750084999999999980e+01,1.054134722222222251e+02,6.211162397739930441e+01
3.833417999999999637e+01,1.077282777777777625e+02,6.433483912385499082e+01
3.916751000000000005e+01,1.100430833333333425e+02,6.659470521166930723e+01
4.000083999999999662e+01,1.123578888888888798e+02,6.889122224084221102e+01
4.083417000000000030e+01,1.146726944444444598e+02,7.122439021137375903e+01
4.166749999999999687e+01,1.169874999999999972e+02,7.359420912326388020e+01
4.250083000000000055e+01,1.193023055555555487e+02,7.600067897651264559e+01
4.333415999999999713e+01,1.216171111111111003e+02,7.844379977111999835e+01
4.416749000000000080e+01,1.239319166666666803e+02,8.092357150708596691e+01
4.500081999999999738e+01,1.262467222222222034e+02,8.343999418441055127e+01
4.583415000000000106e+01,1.285615277777777692e+02,8.599306780309376563e+01
4.666747999999999763e+01,1.308763333333332923e+02,8.858279236313555316e+01
4.750081000000000131e+01,1.331911388888889007e+02,9.120916786453595648e+01
4.833413999999999788e+01,1.355059444444444523e+02,9.387219430729498981e+01
4.916747000000000156e+01,1.378207499999999754e+02,9.657187169141263894e+01
5.000079999999999814e+01,1.401355555555555554e+02,9.930820001688887544e+01
5.083413000000000181e+01,1.424503611111111070e+02,1.020811792837237419e+02
5.166745999999999839e+01,1.447651666666666586e+02,1.048908094919172100e+02
5.250079000000000207e+01,1.470799722222222385e+02,1.077370906414693081e+02
5.333411999999999864e+01,1.493947777777777901e+02,1.106200227323799936e+02
5.416744999999999521e+01,1.517095833333333132e+02,1.135396057646492807e+02
5.500077999999999889e+01,1.540243888888888932e+02,1.164958397382772119e+02
5.583410999999999547e+01,1.563391944444444164e+02,1.194887246532637448e+02
5.666743999999999915e+01,1.586539999999999964e+02,1.225182605096088650e+02
5.750076999999999572e+01,1.609688055555555479e+02,1.255844473073126153e+02
5.833409999999999940e+01,1.632836111111110995e+02,1.286872850463749955e+02
5.916742999999999597e+01,1.655984166666666511e+02,1.318267737267959490e+02
6.000075999999999965e+01,1.679132222222222026e+02,1.350029133485755608e+02
6.083408999999999622e+01,1.702280277777777542e+02,1.382157039117137458e+02
6.166741999999999990e+01,1.725428333333333342e+02,1.414651454162105324e+02
6.250074999999999648e+01,1.748576388888888857e+02,1.447512378620659490e+02
6.333408000000000015e+01,1.771724444444444373e+02,1.480739812492799956e+02
6.416741000000000383e+01,1.794872500000000173e+02,1.514333755778526438e+02
6.500074000000000751e+01,1.818020555555555688e+02,1.548294208477839220e+02
6.583407000000001119e+01,1.841168611111111488e+02,1.582621170590738018e+02
6.666740000000000066e+01,1.864316666666667004e+02,1.617314642117221979e+02
6.750073000000000434e+01,1.887464722222222235e+02,1.652374623057293093e+02
6.833406000000000802e+01,1.910612777777777751e+02,1.687801113410950222e+02
6.916739000000001170e+01,1.933760833333333835e+02,1.723594113178193368e+02
7.000072000000000116e+01,1.956908888888889066e+02,1.759753622359021961e+02
7.083405000000000484e+01,1.980056944444444866e+02,1.796279640953437706e+02
7.166738000000000852e+01,2.003205000000000382e+02,1.833172168961439183e+02
7.250071000000001220e+01,2.026353055555555898e+02,1.870431206383026961e+02
7.333404000000000167e+01,2.049501111111110845e+02,1.908056753218199901e+02
7.416737000000000535e+01,2.072649166666666645e+02,1.946048809466959710e+02
7.500070000000000903e+01,2.095797222222222729e+02,1.984407375129305819e+02
7.583403000000001271e+01,2.118945277777778244e+02,2.023132450205237660e+02
7.666736000000000217e+01,2.142093333333333476e+02,2.062224034694755233e+02
7.750069000000000585e+01,2.165241388888888991e+02,2.101682128597859958e+02
7.833402000000000953e+01,2.188389444444444507e+02,2.141506731914550414e+02
7.916735000000001321e+01,2.211537500000000307e+02,2.181697844644826887e+02
8.000068000000000268e+01,2.234685555555555823e+02,2.222255466788689091e+02
8.083401000000000636e+01,2.257833611111111338e+02,2.263179598346137880e+02
8.166734000000001004e+01,2.280981666666666854e+02,2.304470239317172400e+02
8.250066999999999950e+01,2.304129722222221801e+02,2.346127389701792936e+02
8.333400000000000318e+01,2.327277777777777885e+02,2.388151049500000056e+02
8.416733000000000686e+01,2.350425833333333685e+02,2.430541218711793476e+02
8.500066000000001054e+01,2.373573888888889201e+02,2.473297897337172628e+02
8.583399000000000001e+01,2.396721944444444716e+02,2.516421085376137512e+02
8.666732000000000369e+01,2.419869999999999948e+02,2.559910782828688696e+02
8.750065000000000737e+01,2.443018055555555463e+02,2.603766989694826748e+02
8.833398000000001105e+01,2.466166111111111547e+02,2.647989705974550247e+02
8.916731000000000051e+01,2.489314166666667063e+02,2.692578931667859479e+02
9.000064000000000419e+01,2.512462222222222294e+02,2.737534666774755578e+02
9.083397000000000787e+01,2.535610277777777810e+02,2.782856911295237978e+02
9.166730000000001155e+01,2.558758333333333894e+02,2.828545665229306110e+02
9.250063000000000102e+01,2.581906388888888841e+02,2.874600928576959404e+02
9.333396000000000470e+01,2.605054444444444925e+02,2.921022701338200136e+02
9.416729000000000838e+01,2.628202500000000441e+02,2.967810983513026031e+02
9.500062000000001206e+01,2.651350555555555388e+02,3.014965775101439363e+02
9.583395000000000152e+01,2.674498611111110904e+02,3.062487076103437289e+02
9.666728000000000520e+01,2.697646666666666988e+02,3.110374886519022652e+02
9.750061000000000888e+01,2.720794722222222504e+02,3.158629206348192611e+02
9.833394000000001256e+01,2.743942777777778588e+02,3.207250035590950006e+02
9.916727000000000203e+01,2.767090833333332967e+02,3.256237374247293133e+02
1.000006000000000057e+02,2.790238888888889051e+02,3.305591222317221991e+02
1.008339300000000094e+02,2.813386944444444566e+02,3.355311579800737718e+02
1.016672600000000131e+02,2.836535000000000650e+02,3.405398446697840313e+02
1.025005900000000025e+02,2.859683055555555597e+02,3.455851823008526935e+02
1.033339200000000062e+02,2.882831111111111113e+02,3.506671708732799857e+02
1.041672500000000099e+02,2.905979166666666629e+02,3.557858103870660216e+02
1.050005800000000136e+02,2.929127222222222713e+02,3.609411008422106306e+02
1.058339100000000030e+02,2.952275277777778228e+02,3.661330422387137560e+02
1.066672400000000067e+02,2.975423333333333744e+02,3.713616345765755682e+02
1.075005700000000104e+02,2.998571388888888691e+02,3.766268778557960104e+02
1.083338999999999999e+02,3.021719444444444775e+02,3.819287720763750258e+02
1.091672300000000035e+02,3.044867499999999723e+02,3.872673172383126712e+02
1.100005600000000072e+02,3.068015555555555807e+02,3.926425133416088897e+02
1.108338900000000109e+02,3.091163611111111891e+02,3.980543603862637383e+02
1.116672200000000004e+02,3.114311666666666838e+02,4.035028583722772737e+02
1.125005500000000040e+02,3.137459722222222922e+02,4.089880072996492686e+02
1.133338800000000077e+02,3.160607777777777869e+02,4.145098071683800072e+02
1.141672100000000114e+02,3.183755833333333385e+02,4.200682579784694326e+02
1.150005400000000009e+02,3.206903888888888901e+02,4.256633597299172038e+02
1.158338700000000046e+02,3.230051944444444416e+02,4.312951124227237187e+02
1.166672000000000082e+02,3.253200000000000500e+02,4.369635160568889205e+02
1.175005300000000119e+02,3.276348055555556016e+02,4.426685706324128091e+02
1.183338600000000014e+02,3.299496111111110963e+02,4.484102761492950435e+02
1.191671900000000051e+02,3.322644166666667047e+02,4.541886326075359648e+02
1.200000000000000000e+02,3.345777777777777828e+02,4.600000000000000000e+02
1.200005200000000087e+02,3.345792222222222563e+02,4.600036400071356297e+02
1.208338500000000124e+02,3.368940277777778078e+02,4.658552983480938678e+02
1.216671800000000019e+02,3.392088333333333026e+02,4.717436076304106223e+02
1.225005100000000056e+02,3.415236388888888541e+02,4.776685678540859499e+02
1.233338400000000092e+02,3.438384444444444625e+02,4.836301790191200212e+02
1.241671700000000129e+02,3.461532500000000709e+02,4.896284411255128362e+02
1.250005000000000024e+02,3.484680555555555657e+02,4.956633541732638832e+02
1.258338300000000061e+02,3.507828611111111172e+02,5.017349181623737309e+02
1.266671600000000097e+02,3.530976666666666688e+02,5.078431330928422653e+02
1.275004900000000134e+02,3.554124722222222204e+02,5.139879989646694867e+02
