ln_a,Q,H,Q_prime,H_prime,D_s,Xi_s,W_s,scaled_constraint_residual
0.000000000000000000e+00,1.153783376301804386e+00,1.236448557803838444e+00,-6.795885983575325473e-02,-5.536078590520575604e-01,2.542238129139940028e+01,2.630269945531320630e+01,1.589006588895725214e+00,1.625294446670777595e-14
2.878231366242557307e-04,1.153763818466234881e+00,1.236289274387023074e+00,-6.794290365378992391e-02,-5.532067284428233700e-01,2.540350859696561159e+01,2.628385516914587328e+01,1.588688743514137025e+00,1.937040758739498612e-16
5.756462732485114614e-04,1.153744265221118281e+00,1.236130106387072214e+00,-6.792696211427272368e-02,-5.528058605191444874e-01,2.538464633184462116e+01,2.626502128285221005e+01,1.588371140941427395e+00,2.735486791307297915e-15
8.634694098727671921e-04,1.153724716562236630e+00,1.235971053728394775e+00,-6.791103521495428508e-02,-5.524052551598640504e-01,2.536579449066217151e+01,2.624619779108813589e+01,1.588053781012837007e+00,9.770695582889248816e-15
1.151292546497022923e-03,1.153705172485379293e+00,1.235812116335437416e+00,-6.789512295359388661e-02,-5.520049122438382971e-01,2.534695306804722037e+01,2.622738468851275329e+01,1.587736663563698469e+00,8.325569361186112552e-15
1.439115683121278653e-03,1.153685632986333198e+00,1.235653294132679658e+00,-6.787922532796691888e-02,-5.516048316499366777e-01,2.532812205862813926e+01,2.620858196978455368e+01,1.587419788429427658e+00,1.243112117956660507e-14
1.726938819745534384e-03,1.153666098060885936e+00,1.235494587044636772e+00,-6.786334233587716647e-02,-5.512050132570485150e-01,2.530930145702803102e+01,2.618978962955673140e+01,1.587103155445528380e+00,1.462189283309609616e-14
2.014761956369790115e-03,1.153646567704822212e+00,1.235335994995857556e+00,-6.784747397511936562e-02,-5.508054569440663517e-01,2.529049125787933505e+01,2.617100766249178179e+01,1.586786764447594145e+00,1.094810147646348793e-15
2.302585092994045846e-03,1.153627041913938722e+00,1.235177517910929001e+00,-6.783162024349245756e-02,-5.504061625898963861e-01,2.527169145581856569e+01,2.615223606325623962e+01,1.586470615271309281e+00,1.525085361461356844e-14
2.590408229618301576e-03,1.153607520684017951e+00,1.235019155714468742e+00,-6.781578113883901526e-02,-5.500071300734657997e-01,2.525290204547108885e+01,2.613347482650547349e+01,1.586154707752438942e+00,1.134165102565881780e-14
2.878231366242557307e-03,1.153588004010855039e+00,1.234860908331132823e+00,-6.779995665896680623e-02,-5.496083592736998868e-01,2.523412302148158659e+01,2.611472394691412191e+01,1.585839041726845533e+00,8.057386818480946902e-15
