ln_a,zeta_obs,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,zeta,u,delta_b,delta_gamma,delta_nu,vartheta_b,vartheta_gamma,vartheta_nu,alpha
0.000000000000000000e+00,0.000000000000000000e+00,-3.124748858378406115e-04,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.442794133077943009e-07
2.302585092994045846e-03,5.073840144104056743e-10,-3.037148872443111284e-04,7.101594550853403522e-07,1.000118951929403810e+00,1.553529795478966660e-04,1.553529795478966660e-04,5.073840144104056743e-10,7.106668390997507476e-07,1.000116819928886569e+00,1.525103121914976579e-04,1.525103121914976579e-04,7.895132887910610286e-10,3.039399528680741640e-08,3.039399528680741640e-08,3.410174955079401263e-07
4.605170185988091691e-03,1.005930991667606997e-09,-2.908005126756247390e-04,1.394580425851843874e-06,1.000465591666690468e+00,5.705252632021720833e-04,5.705252632021720833e-04,1.005930991667606997e-09,1.395586356843511495e-06,1.000461404907619922e+00,5.649429177747980263e-04,5.649429177747980263e-04,1.565147490411463939e-09,2.276194870056789734e-07,2.276194870056789734e-07,3.329617695049503235e-07
6.907755278982137537e-03,1.488648476089386478e-09,-2.741385793813585331e-04,2.044179341509220720e-06,1.001028830189785834e+00,1.130094828124084171e-03,1.130094828124084171e-03,1.488648476089386478e-09,2.045667989985310213e-06,1.001022693185815937e+00,1.121912156164142898e-03,1.121912156164142898e-03,2.316239455192073001e-09,7.110322648829979549e-07,7.110322648829979549e-07,3.204357070273444146e-07
9.210340371976183382e-03,1.949067952966152982e-09,-2.542153914511974299e-04,2.650919544161663501e-06,1.001794868523900650e+00,1.680374707509269807e-03,1.680374707509269807e-03,1.949067952966152982e-09,2.652868612114629503e-06,1.001786909918064294e+00,1.669763233060811208e-03,1.669763233060811208e-03,3.033009020207632086e-09,1.520963576612660132e-06,1.520963576612660132e-06,3.038649575187351573e-07
1.151292546497022923e-02,2.381407760405291512e-09,-2.315422294437868053e-04,3.207930676938003144e-06,1.002747589284249230e+00,2.067720474456008223e-03,2.067720474456008223e-03,2.381407760405291512e-09,3.210312084698408517e-06,1.002737958347995173e+00,2.054879226117214703e-03,2.054879226117214703e-03,3.706727419738386930e-09,2.607389499351938735e-06,2.607389499351938735e-06,2.837195044655123700e-07
1.381551055796427507e-02,2.780648359453984326e-09,-2.066048847013822649e-04,3.709504818258858904e-06,1.003868961677968352e+00,2.176422989754236807e-03,2.176422989754236807e-03,2.780648359453984326e-09,3.712285466618312897e-06,1.003857824821568601e+00,2.161573847887763439e-03,2.161573847887763439e-03,4.329752214824111528e-09,3.841001147032110359e-06,3.841001147032110359e-06,2.604578936063798996e-07
1.611809565095832092e-02,3.142519607700756507e-09,-1.798280122348944264e-04,4.150991787961270275e-06,1.005139422917340708e+00,1.956938974092110439e-03,1.956938974092110439e-03,3.142519607700756507e-09,4.154134307568971303e-06,1.005126960514417966e+00,1.940322436861834652e-03,1.940322436861834652e-03,4.895448434358864139e-09,5.043733593126991287e-06,5.043733593126991287e-06,2.344859314679328835e-07
1.842068074395236676e-02,3.463419216875525681e-09,-1.515609958962309256e-04,4.528636519458516885e-06,1.006538210484448692e+00,1.437718027115066424e-03,1.437718027115066424e-03,3.463419216875525681e-09,4.532099938675392492e-06,1.006524614184632682e+00,1.419589627360364793e-03,1.419589627360364793e-03,5.398039973358267027e-09,6.031106746574186972e-06,6.031106746574186972e-06,2.061382241363800945e-07
2.072326583694641261e-02,3.740295697457077093e-09,-1.220865377925842111e-04,4.839410581839594242e-06,1.008043635765176749e+00,7.179807313127417080e-04,7.179807313127417080e-04,3.740295697457077093e-09,4.843150877537051141e-06,1.008029106312544165e+00,6.986081278025934628e-04,6.986081278025934628e-04,5.832447965099165709e-09,6.655964174074884647e-06,6.655964174074884647e-06,1.756850484532435879e-07
2.302585092994045846e-02,3.970534650836704121e-09,-9.164768280415059394e-05,5.080886203483854820e-06,1.009633306160609312e+00,-5.653917179822825362e-05,-5.653917179822825362e-05,3.970534650836704121e-09,5.084856738134691571e-06,1.009618051590394971e+00,-7.687859875076701651e-05,-7.687859875076701651e-05,6.194171260509365157e-09,6.843000411107376957e-06,6.843000411107376957e-06,1.433608093306421211e-07
2.532843602293450430e-02,4.151883283879295992e-09,-6.048478478791631920e-05,5.251186024589499280e-06,1.011284315907683862e+00,-7.287935587135934432e-04,-7.287935587135934432e-04,4.151883283879295992e-09,5.255337907873378926e-06,1.011268549893960200e+00,-7.498149103450869792e-04,-7.498149103450869792e-04,6.479249266790771031e-09,6.605841560582876741e-06,6.605841560582876741e-06,1.094052493723688483e-07
2.763102111592855015e-02,4.282435827706456654e-09,-2.887195254418360423e-05,5.349019465222261169e-06,1.012973432563426535e+00,-1.167930850673762518e-03,-1.167930850673762518e-03,4.282435827706456654e-09,5.353301901049967393e-06,1.012957372657723454e+00,-1.189344058277962482e-03,-1.189344058277962482e-03,6.684323322988638952e-09,6.042765399511319417e-06,6.042765399511319417e-06,7.410581201580772089e-08
