j,k_Hd,maximum_observable_response,a_at_max,channel_at_max,channel_refinement,pointwise_refinement,lapse_residual,shift_residual,slip_residual,nfev
0.000000000000000000e+00,2.999999999999999889e-02,1.005454075522536517e+00,3.147748314101316058e+00,3.000000000000000000e+00,1.232115104388142868e-12,1.232115104388142868e-12,2.775557561562891351e-17,1.714394685242703886e-18,3.374456839130474703e-18,6.932000000000000000e+03
1.000000000000000000e+00,3.867544954725395112e-02,1.005453111719320392e+00,3.147748314101316058e+00,3.000000000000000000e+00,1.182859366011257407e-12,1.182859366011257407e-12,4.163336342344337027e-17,1.666960840196463067e-18,3.017793102609860230e-18,6.932000000000000000e+03
2.000000000000000000e+00,4.985967992273953459e-02,1.005451510661224956e+00,3.147748314101316058e+00,3.000000000000000000e+00,1.181509751146947451e-12,1.181509751146947451e-12,2.775557561562891351e-17,1.626303258728256651e-18,3.083729323597687172e-18,6.932000000000000000e+03
3.000000000000000000e+00,6.427818450980478382e-02,1.005448851851473258e+00,3.147748314101316058e+00,3.000000000000000000e+00,8.612017349252099052e-13,8.612017349252099052e-13,4.163336342344337027e-17,1.334923924872777334e-18,3.231218935538342218e-18,6.932000000000000000e+03
4.000000000000000000e+00,8.286625606660118215e-02,1.005444438814029784e+00,3.147748314101316058e+00,3.000000000000000000e+00,1.567329599438949117e-12,1.567329599438949117e-12,2.775557561562891351e-17,1.572093150103981429e-18,2.886608874903850465e-18,6.932000000000000000e+03
5.000000000000000000e+00,1.068296568557886989e-01,1.005437120579735666e+00,3.147748314101316058e+00,3.000000000000000000e+00,5.842375194742288613e-13,5.842375194742288613e-13,2.775557561562891351e-17,1.544988095791843818e-18,2.330822912607020958e-18,6.932000000000000000e+03
6.000000000000000000e+00,1.377228334625502648e-01,1.005425002244155763e+00,3.147748314101316058e+00,3.000000000000000000e+00,3.844893153859274548e-13,3.844893153859274548e-13,4.163336342344337027e-17,1.653408313040394262e-18,3.329739455215858027e-18,6.932000000000000000e+03
7.000000000000000000e+00,1.775497499028574067e-01,1.005404983612544489e+00,3.147748314101316058e+00,3.000000000000000000e+00,1.142808070397904885e-12,1.142808070397904885e-12,2.775557561562891351e-17,1.639855785884325456e-18,4.475827972410129779e-18,6.932000000000000000e+03
8.000000000000000000e+00,2.288938798165172928e-01,1.005372045160359828e+00,3.147748314101316058e+00,3.000000000000000000e+00,1.115958020436735865e-12,1.115958020436735865e-12,2.775557561562891351e-17,1.118083490375676448e-18,3.197125859411356630e-18,6.932000000000000000e+03
9.000000000000000000e+00,2.950857900172974557e-01,1.005318199768389098e+00,3.147748314101316058e+00,3.000000000000000000e+00,1.073151983943532173e-12,1.073151983943532173e-12,2.775557561562891351e-17,8.605854744103691445e-19,2.583450489125616034e-18,6.932000000000000000e+03
1.000000000000000000e+01,3.804191861308520162e-01,1.005231101965042173e+00,3.147748314101316058e+00,3.000000000000000000e+00,1.134595889462630680e-12,1.134595889462630680e-12,2.775557561562891351e-17,8.402566836762659364e-19,2.795632242412818269e-18,6.932000000000000000e+03
1.100000000000000000e+01,4.904294346670394211e-01,1.005092579201382952e+00,3.147748314101316058e+00,3.000000000000000000e+00,9.099179743010665788e-13,9.099179743010665788e-13,2.775557561562891351e-17,8.605854744103691445e-19,3.166209156836574667e-18,6.932000000000000000e+03
1.200000000000000000e+01,6.322526285651118849e-01,1.004878024343094589e+00,3.147748314101316058e+00,3.000000000000000000e+00,8.896511999312295416e-13,8.896511999312295416e-13,2.775557561562891351e-17,8.605854744103691445e-19,2.537710709973883816e-18,6.932000000000000000e+03
1.300000000000000000e+01,8.150884879062894051e-01,1.004558740091857638e+00,3.147748314101316058e+00,3.000000000000000000e+00,1.045039055291852037e-12,1.045039055291852037e-12,4.163336342344337027e-17,8.673617379884035472e-19,2.859583229930517945e-18,6.932000000000000000e+03
1.400000000000000000e+01,1.050797123018907264e+00,1.004110165271843380e+00,3.140508693876217450e+00,3.000000000000000000e+00,1.153983159030147476e-12,1.153983159030147476e-12,2.775557561562891351e-17,8.673617379884035472e-19,2.629190268277348252e-18,6.932000000000000000e+03
1.500000000000000000e+01,1.354668370523911314e+00,1.003526825033196346e+00,3.118889584093937462e+00,3.000000000000000000e+00,4.816147480823929072e-13,4.816147480823929072e-13,4.163336342344337027e-17,8.605854744103691445e-19,1.741923256028468647e-18,6.932000000000000000e+03
1.600000000000000000e+01,1.746413607248608724e+00,1.002837412326374800e+00,3.061963433690677583e+00,3.000000000000000000e+00,1.286002554445886403e-13,1.286002554445886403e-13,2.775557561562891351e-17,4.336808689942017736e-19,1.538211832213809416e-18,6.932000000000000000e+03
1.700000000000000000e+01,2.251444378526044510e+00,1.002106829876752814e+00,2.937649651961530939e+00,3.000000000000000000e+00,1.281665745755944386e-13,1.281665745755944386e-13,4.163336342344337027e-17,4.336808689942017736e-19,9.486769009248163798e-19,6.932000000000000000e+03
1.800000000000000000e+01,2.902520782337752348e+00,1.001420284550301742e+00,2.697739432444920205e+00,3.000000000000000000e+00,4.127427566391617120e-14,4.127427566391617120e-14,2.775557561562891351e-17,2.168404344971008868e-19,8.809142651444723526e-19,6.932000000000000000e+03
1.900000000000000000e+01,3.741876535905328094e+00,1.000864989560400486e+00,2.285598803375430421e+00,3.000000000000000000e+00,4.745596277055952328e-14,4.745596277055952328e-14,2.775557561562891351e-17,2.168404344971008868e-19,6.572975670693370631e-19,6.932000000000000000e+03
2.000000000000000000e+01,4.823958572548661117e+00,1.000527773783222107e+00,1.678804018122560526e+00,3.000000000000000000e+00,8.493206138382447534e-15,8.493206138382447534e-15,2.775557561562891351e-17,2.134523027080836854e-19,4.811147140404425926e-19,6.932000000000000000e+03
